lat,long,Cafetería,Calle,Descripción de Sara
3.947.144.165.609.070,-37.911.058.961.204.600,Aurora. Specialty Coffee,"C/ d'Escolano, 25",Espacio tranquilo para trabajar y pet friendly
39.496.856.436.809.600,-47.048.280.391.334.300,Barista Café,"C/ Domenyo, 4, a","Café 100% arábica, recién tostado"
39.472.500.000.628.700,-32.624.503.275.492.200,Bikini Cabanyal,"C/ de les Drassanes, 52, Poblats Marítims, 46011","En pleno corazón del Cabanyal: café de especialidad, cocina casera y cócteles"
3.946.205.388.527.890,-3.721.753.601.519.020,Blackbird Café,C/ Reina Na María 7,"Todo hecho en casa, desde el obrador hasta tu taza"
3.947.596.818.836.320,-3.786.984.919.463.110,Blackbird Café – Little Blackbird,C/ Danzas 2,Con el espíritu de 'Blackbird' de The Beatles como inspiración
3.946.204.714.483.400,-3.758.182.057.687.580,Bluebell Coffee Roasters,C/ Buenos Aires 3,"Compromiso con el origen, la sostenibilidad y el trabajo bien hecho"
3.946.019.470.570.200,-34.920.681.844.764.000,Borja Specialty Coffee,"C/ de Vicente Beltrán Grimal, 23","Un espacio para los más instagramers, donde cada detalle cuenta"
3.947.176.144.583.100,-35.925.813.090.877.000,Boscon Coffee,"C/ de Finlàndia, 16, El Pla del Real, 46010",Un local donde lo cotidiano se vuelve extraordinario
3.947.555.447.366.900,-38.642.368.961.192.700,BOTANIC Café-Té,"C/ de Quart, 91",Local de especialidad con tuestes artesanales
3.946.910.828.270.900,-37.885.454.543.621.000,Brewtalist Coffee Hub,"C/ de Baldoví, 2",Su lema: el sitio si odias lo mediocre y buscas algo más que agua marrón caliente.
3.946.916.716.238.390,-36.607.276.159.097.300,Butter Eatery House,"C/ del Gravador Esteve, 33",Pastelería sin gluten hecha con ingredientes de calidad
3.946.688.860.215.570,-3.290.596.904.572.100,Café ArtySana,"C/ de La Reina, 56","Cocina casera veggie, buen café y arte local"
3.946.304.538.079.820,-3.763.523.959.667.140,Café ArtySana,"C/ de Dénia, 49",Acerca el arte a todos sus clientes a través de exposiciones itinerantes
3.947.930.330.729.290,-3.525.776.922.698.260,Café Colomer,"Plaza de Fra Lluís Colomer, 7, Bajo B","Crepería y micro-tostador en Valencia, donde el sabor manda y el azúcar es opcional"
3.946.991.198.060.420,-34.904.101.660.099.200,Café Cros,"C/ dels Sants Just i Pastor, 58","Un espacio acogedor para celebraciones, talleres y catering con sabor casero y mucho mimo"
394.723.362.201.073,-37.552.528.961.201.000,Cafeinómanos,"C/ de l'Ambaixador Vich, 11, bajo",Cafetería de especialidad multi-roaster para llevar
39.459.173.191.157.700,-3.478.629.742.717.480,Cafetería Guapas,"Avenida de Francia, 32","Desayunos, brunch y pastelería casera servidos siempre con amor"
3.947.064.518.080.610,-3.909.874.607.769.010,Cafeto y Camellia,"C/ de Calixt III, 45, BJ 4","Una experiencia sensorial, con productos seleccionados y accesorios exclusivos"
39.468.145.155.447,-3.819.616.319.417.940,Casa Capicúa,C/ Jesús 14,"Local con alma familiar y cocina sin prisas, donde las hermanas Benito son el alma"
3.946.173.734.738.870,-3.759.879.312.110.120,Casa Fran,C/ Puerto Rico 29,Un local de take away donde la barra cobra protagonismo
3.946.209.465.157.520,-36.977.830.310.683.300,Casa Raíz,C/ Pintor Salvador Abril 34,Un refugio único que combina el arte del café de especialidad con un ambiente acogedor y cultural
39.466.566.905.293.100,-36.590.022.764.506.400,CATÉ Café y té,"C/ de Ciscar, 15","Calidad, sostenibilidad y variedad en cada taza"
39.470.910.595.870.600,-37.555.490.126.019.300,Cherry Blossom,"C/ de Moratín, 15",Un espacio en pleno centro de Valencia que celebra la primavera y la naturaleza
3.946.735.685.238.150,-3.860.237.607.770.250,CLEM Café,"C/ de Conca, 40, Extramurs, 46007","Destaca por su propuesta de comida vegetariana, vegana y sin gluten"
3.947.516.294.846.500,-37.768.583.194.154.500,Coffee & Bikes,"C. de la Puríssima, 1",Un punto de encuentro donde el ciclismo y la cultura del café se unen
3.946.505.107.307.230,-3.673.215.049.530.340,COPPER (Specialty coffee & brunch),"C/ de Borriana, 12",Un espacio pet friendly donde tu mascota es siempre bienvenida
3.946.940.601.112.920,-3.781.609.742.713.530,Cult Café,"C/ de l'Arquebisbe Mayoral, 7, Bajo","Tostaduría y cafetería centrada en cafés de origen, con tueste propio"
3.946.654.985.468.690,-3.698.362.742.714.770,DOCTA Coffee,"Gran Via del Marqués del Túria, 34","Especialidad, arte y diseño en el centro de Valencia"
3.946.734.715.240.940,-33.015.853.194.182.200,Doux-Amer Café,"C/ de Just Vilar, 29",Una amplia variedad de opciones de brunch creativo y saludable
3.947.052.783.705.450,-367.598.568.447.378,East Crema Coffee,C/ Sorní 19,"Un espacio para desconectar, trabajar o disfrutar"
3.946.925.165.609.100,-3.746.687.346.020.910,East Crema Coffee,C/ Roger de Lauria,Destaca por su trazabilidad y tueste preciso
3.946.505.312.531.950,-3.674.912.800.954.960,East Crema Coffee,C/ Almirante Cadarso,"Un local en el que el diseño, la experiencia y la calidad del café encajan en perfecta sintonía"
3.947.871.360.794.010,-3.762.573.196.724.000,El Coffi del Carmen,"C/ de la Creu, 4, bajo derecha","Ambiente acogedor, comida casera de alta calidad, y buen café."
3.946.286.260.736.610,-3.711.075.781.258.840,Elixir Café de Especialidad  Ruzafa,"Mercado de Ruzafa Casetas exteriores 112-116, 46006","Café de especialidad, trazable, sostenible y respetuoso con el medio ambiente."
3.947.684.983.760.120,-3.796.047.602.827.750,Elixir Café de Especialidad - Barrio del Carmen,"C/ dels Cavallers, 45","Cada sorbo refleja un proceso artesanal, justo y respetuoso con el planeta"
3.946.671.267.750.980,-3.844.112.784.470.760,Elixir Café de Especialidad Arrancapins,"C/ de Sant Francesc de Borja, 4","Compromiso con la calidad, el respeto al medio ambiente y el fortalecimiento de las comunidades caficultoras."
3.947.318.547.203.100,-3.686.684.607.767.990,Fav Coffee,Plaza de la Reina,"Una farmacia convertida en cafetería, con opciones veganas y vegetarianas"
3.952.745.076.890.420,-34.591.219.885.242.500,Federal Café,"C/ de l'Ambaixador Vich, 15","Ambiente acogedor y cosmopolita, inspirado en la cultura australiana"
3.946.260.014.908.030,-3.663.428.607.771.940,Fika,"C/ del Duc de Calàbria, 16",Una tradición sueca hecha local
3.946.265.098.135.680,-3.721.446.742.716.120,Fiveo Coffee,C/ Dr. Serrano 1,Un local que rompe con lo tradicional
3.946.352.761.432.590,-3.693.981.724.252.690,FloRa bake & Espresso,"C/ del Dr. Sumsi, 8",Aquí los pasteles se disfrutan mejor con el sabor intenso su café.
394.628.149.837.892,-38.105.533.378.830.100,Flying Bean Coffee,"C/ del Doctor Vila Barberà, 12","Ganos tostados en el local, extracción precisa con la Black Eagle y opciones como Nitro Cold Brew"
39.457.515.208.455.600,-3.878.437.204.015.090,Foc Coffee,"C/ Mateu i Sanç, 25",Café de alta calidad a precios razonables
3.947.174.456.571.900,-3.288.881.607.768.470,FOUR Specialty Coffee & Bistro,"C/ d'Espadà, 31","Opciones vegetarianas y veganas, ingredientes frescos y un ambiente acogedor."
3.947.724.174.989.380,-38.302.604.709.445.300,Fran Café,"C/ de Puerto Rico, 29, L'Eixample, 46004",Un pequeño rincón situado en el barrio de Russafa que invita a entrar y probar su café take away.
39.462.240.493.804.500,-3.669.820.652.854.030,Fumi Specialty Coffee,"C/ de Matias Perelló, 37",Un espacio donde la pausa del café se convierte en tu ritual diario de autocuidado.
39.466.714.519.458.900,-3.541.092.607.770.250,Gartxi Coffee,"Avenida del Port, 65, Bajo Izquierda, Camins al Grau, 46021","Dispone además de un patio interior, perfecto para disfrutar de un desayuno al aire libre."
39.463.571.782.257.700,-36.364.918.776.601.800,Gigi World Coffee Specialty,"C/ del Mestre Racional, 3, Carrer Quart, 7, 46005",Apuesta por una cuidadosa selección de granos y tostado artesanal
3.947.314.222.658.890,-37.590.987.611.755.700,Goat Coffee Store,"C/ de l'Abadia de Sant Martí, 4",Ofrece opciones como el espresso italiano que algunos comparan con el de Roma.
3.948.456.364.713.890,-3.708.730.408.876.670,Henko Specialty Coffee,"C/  Almazora, 44, Bajo Izquierda","Ofrece café de origen, tostado fresco y adaptado a distintos métodos de preparación"
3.947.085.489.600.980,-3.724.026.184.472.650,I’N Coffee & Tea,"C/ del Dr. Romagosa, 5, Ciutat Vella, 46002","Café de calidad, con tueste propio,  programa de fidelidad y ambiente acogedor"
39.470.622.514.114.900,-37.369.012.279.079.000,Ikore Kofi – Centro,"C/ de Pascual i Genís, 3, Bajo Izquierda","Una experiencia completa que involucra la calidad, la sostenibilidad, la educación y la pasión por esta bebida"
3.946.253.868.423.380,-3.711.152.023.456.290,Ikore Kofi – Market,Plaza del Baró de Cortés,"Selección de granos, tueste artesanal junto con catas y cursos"
3.947.896.949.348.820,-3.746.771.775.025.980,Kaffeina Brunch & Specialty,"C/ del Mur de Santa Anna, 4",Se specializa en brunchs con cafés de especialidad
3.946.482.387.203.300,-36.566.495.594.453.300,Kaffeina Brunch & Specialty,"C/ de la Reina Na Germana, 9, L'Eixample, 46005",Buen café en medio del bullicio de la ciudad.
3.946.665.525.863.930,-36.583.331.660.108.400,Kaffetto Coffee Roasters,C/ Císcar 15,Ofrece una frescura de tueste reciente
3.946.499.318.593.980,-3.293.603.480.976.440,Kaide Coffee,"C/ de la Reina, 23",Se distingue por la creatividad en sus preparaciones
3.947.166.259.244.350,-38.403.684.943.671.500,Karma Café,"Gran Vía de Fernando el Católico, 8",Un espacio pensado para la comodidad del cliente y atención a los detalles
3.948.902.915.077.550,-40.058.294.543.547.400,Kohi Café de Especialidad,"C/ de la Safor, 9",Calificado con más de 80 puntos por la Specialty Coffee Association (SCA)
3.946.466.464.293.720,-3.752.599.319.419.110,Kopi Specialty Coffee,"Gran Via de les Germanies, 16",De la finca a la taza: un recorrido con trazabilidad y respeto por cada etapa del proceso.
3.947.545.936.607.530,-37.654.123.194.153.100,La Droguería | Speciality Coffee,"C/ de la Corretgeria, 23",Un espacio con decoración cuidada y un café de sabor intenso que marca la diferencia.
394.728.117.730.842,-37.761.530.576.597.600,La Guashira Specialty Coffee,C/ Flassaders 8,Produce variedades exóticas de café de especialidad en su propia finca de Colombia
3.946.096.527.048.490,-37.078.261.844.761.200,Let it bloom,"C/ de Francesc Sempere, 4, Bj Izq 01","Calidad, conocimiento y pasión por el café de especialidad, con opciones veganas creativas."
3.945.948.887.575.630,-37.523.664.543.654.100,Los Picos Café,Plaza Manuel Granero 20,Dominan la AeroPress y preparan un sándwich cubano famoso en la ciudad
3.948.242.751.269.500,-37.159.921.889.529.300,Mayan Coffees,"C/  d'Hug de Montcada, 19, La Saïdia, 46010 València, Valencia",Uno de los pocos locales que ofrece café infusionado
3.947.572.808.262.680,-38.363.697.197.642.200,Mayan Coffees,C/ Murillo 54,Opciones seleccionadas para resaltar las características únicas de cada grano
