latitude,longitude,Cafetería,Calle,Descripción de Sara
"39,471441656","-0,3791106",Aurora. Specialty Coffee,"C/ d'Escolano, 25",Espacio tranquilo para trabajar y pet friendly
"39,496856437","-0,4704828",Barista Café,"C/ Domenyo, 4, a","Café 100% arábica, recién tostado"
"39,472500001","-0,3262450",Bikini Cabanyal,"C/ de les Drassanes, 52, Poblats Marítims, 46011","En pleno corazón del Cabanyal: café de especialidad, cocina casera y cócteles"
"39,462053885","-0,3721754",Blackbird Café,C/ Reina Na María 7,"Todo hecho en casa, desde el obrador hasta tu taza"
"39,475968188","-0,3786985",Blackbird Café – Little Blackbird,C/ Danzas 2,Con el espíritu de 'Blackbird' de The Beatles como inspiración
"39,462047145","-0,3758182",Bluebell Coffee Roasters,C/ Buenos Aires 3,"Compromiso con el origen, la sostenibilidad y el trabajo bien hecho"
"39,460194706","-0,3492068",Borja Specialty Coffee,"C/ de Vicente Beltrán Grimal, 23","Un espacio para los más instagramers, donde cada detalle cuenta"
"39,471761446","-0,3592581",Boscon Coffee,"C/ de Finlàndia, 16, El Pla del Real, 46010",Un local donde lo cotidiano se vuelve extraordinario
"39,475554474","-0,3864237",BOTANIC Café-Té,"C/ de Quart, 91",Local de especialidad con tuestes artesanales
"39,469108283","-0,3788545",Brewtalist Coffee Hub,"C/ de Baldoví, 2",Su lema: el sitio si odias lo mediocre y buscas algo más que agua marrón caliente.
"39,469167162","-0,3660728",Butter Eatery House,"C/ del Gravador Esteve, 33",Pastelería sin gluten hecha con ingredientes de calidad
"39,466888602","-0,3290597",Café ArtySana,"C/ de La Reina, 56","Cocina casera veggie, buen café y arte local"
"39,463045381","-0,3763524",Café ArtySana,"C/ de Dénia, 49",Acerca el arte a todos sus clientes a través de exposiciones itinerantes
"39,479303307","-0,3525777",Café Colomer,"Plaza de Fra Lluís Colomer, 7, Bajo B","Crepería y micro-tostador en Valencia, donde el sabor manda y el azúcar es opcional"
"39,469911981","-0,3490410",Café Cros,"C/ dels Sants Just i Pastor, 58","Un espacio acogedor para celebraciones, talleres y catering con sabor casero y mucho mimo"
"39,472336220","-0,3755253",Cafeinómanos,"C/ de l'Ambaixador Vich, 11, bajo",Cafetería de especialidad multi-roaster para llevar
"39,459173191","-0,3478630",Cafetería Guapas,"Avenida de Francia, 32","Desayunos, brunch y pastelería casera servidos siempre con amor"
"39,470645181","-0,3909875",Cafeto y Camellia,"C/ de Calixt III, 45, BJ 4","Una experiencia sensorial, con productos seleccionados y accesorios exclusivos"
"39,468145155","-0,3819616",Casa Capicúa,C/ Jesús 14,"Local con alma familiar y cocina sin prisas, donde las hermanas Benito son el alma"
"39,461737347","-0,3759879",Casa Fran,C/ Puerto Rico 29,Un local de take away donde la barra cobra protagonismo
"39,462094652","-0,3697783",Casa Raíz,C/ Pintor Salvador Abril 34,Un refugio único que combina el arte del café de especialidad con un ambiente acogedor y cultural
